"id","StockID","StockShortName","StockProductType","StockProductMain"
"1","1101","台泥","水泥工業","有關水泥及水泥製品之生產及運銷"
"2","1102","亞泥","水泥工業","水泥、水泥之半成品、水泥製品、預拌混凝土及其添加劑之生產運銷"
"3","1103","嘉泥","水泥工業","水泥、生產、銷售"
"4","1104","環球水泥","水泥工業","水泥原料熟料及水泥製品原料之開採製造生產運銷"
"5","1108","幸福水泥","水泥工業","有關水泥及水泥製品之工業及相關事業"
"6","1109","信大水泥","水泥工業","卜特蘭水泥"
"7","1110","東泥","水泥工業","(1)水泥製造與買賣(2)石灰石之開採及銷售"
"8","1201","味全公司","食品工業","食品製造及販賣"
"9","1203","味王公司","食品工業","味精.醬油.罐頭.調理速食品.飲料等製造及營銷有關進出口業務"
"10","1210","大成長城","食品工業","飼料"
"11","1213","大飲","食品工業","製造蘋果汽水礦泉水及各種汽水飲料等之批發"
"12","1215","卜蜂企業","食品工業","各種飼料生產加工配製銷售進口及買賣"
"13","1216","統一","食品工業","麵粉.飼料.油脂.速食麵.冷調食品.飲料.奶粉.乳品.麵包.醬品."
"14","1217","愛之味","食品工業","食品"
"15","1218","泰山企業","食品工業","各種食用油脂之精製及批發零售.各種清涼飲料.冷凍調理食品"
"16","1219","福壽實業","食品工業","配合飼料"
"17","1220","台榮","食品工業","飼料製造販賣"
"18","1225","福懋油","食品工業","麵粉，飼料，黃豆油，黃豆粉，大麥片，玉米粉之製造與銷售。"
"19","1227","佳格","食品工業","嬰兒麥粉、麥片及相關產品之生產製造"
"20","1229","聯華實業","食品工業","麵粉"
"21","1231","聯華食品","食品工業","食品"
"22","1232","大統益","食品工業","黃豆油、粉加工，製造及銷售"
"23","1233","天仁","食品工業","茶葉製造加工"
"24","1234","黑松","食品工業","碳酸飲料、酒類、果蔬汁、咖啡飲料、運動飲料等."
"25","1235","興泰","食品工業","飼料"
"26","1236","宏亞食品","食品工業","糖果、餅乾、巧克力之製造、加工及買賣。"
"27","1301","台塑","塑膠工業","聚氯乙烯(PVC)、氯乙烯、液、高密度聚乙烯、低密度聚乙烯"
"28","1303","南亞塑膠","塑膠工業","各種塑膠加工品、塑膠原料、電子材料、聚酯纖維之製銷"
"29","1304","台聚","塑膠工業","聚乙烯塑膠原料(包括乙烯醋酸乙烯酯樹脂 )之製造、加工及銷售"
"30","1305","華夏","塑膠工業","從事生產與銷售塑膠布，塑膠皮，塑膠管，塑膠粒"
"31","1307","三芳化工","塑膠工業","聚氨基甲酸加工品之製銷事項不織布起毛布加工品製銷染整事項"
"32","1308","亞聚","塑膠工業","低密度聚乙烯及乙烯醋酸乙烯酯共聚合樹脂之生產及銷售."
"33","1309","台達化工","塑膠工業","聚苯乙烯及加工品之製銷、丙烯(月青)、丁二烯、苯乙烯共聚體樹脂"
"34","1310","台苯","塑膠工業","苯乙烯單體"
"35","1312","國喬石化","塑膠工業","石油化工原料製造業"
"36","1313","聯成","塑膠工業","有機酸及其衍生物"
"37","1314","中石化","塑膠工業","石油化學產品CPL  AN  HAC之製造及銷售"
"38","1315","達新工業","塑膠工業","塑膠雨衣、什加工、PP瓦楞板等製品"
"39","1316","上曜","化學工業","合成皮買賣及加工業務及有關前項材料之買賣及進出口貿易業務。"
"40","1319","東陽","塑膠工業","汽機車零件製造買賣"
"41","1321","大洋","塑膠工業","塑膠原料之製造及銷售"
"42","1323","永裕","塑膠工業","各種塑膠製品製造.批發"
"43","1324","地球工業","塑膠工業","各種黏膠帶電報紙防水紙防蝕漆防蝕膠帶等之製造加工買賣業務"
"44","1325","恒大","塑膠工業","各類不織布之產銷"
"45","1326","台化","塑膠工業","純對苯二甲酸、聚苯乙烯、苯乙烯、鄰二甲苯、對二甲苯、苯、"
"46","1402","遠東新","紡織纖維","石化纖維原料、半成品及製成品。"
"47","1409","新纖","紡織纖維","各種合成纖維及各種合成纖維假撚絲之製造及銷售。"
"48","1410","南染","紡織纖維","絲棉毛合成化學纖維織品之印染及樹脂加工定型整理業務"
"49","1413","宏洲化工","紡織纖維","合成化學纖維之製造及加工買賣業務"
"50","1414","東和","紡織纖維","天然纖維紡織及其加工業務。"
"51","1416","廣豐","紡織纖維","家用紡織品進出口銷售業務"
"52","1417","嘉裕","紡織纖維","男女成衣"
"53","1418","東華","紡織纖維","聚丙烯青合成纖維.聚丙烯青梳毛條之製造及內外銷"
"54","1419","新紡","紡織纖維","紡織品及針織品之製造、加工買賣及門市零售業務"
"55","1423","利華羊毛","紡織纖維","毛條(包括炭化羊毛)之製造及銷售業務"
"56","1432","大魯閣","紡織纖維","各種纖維之製造、染色、印花及其他整理加工製品之產銷及買賣業務"
"57","1434","福懋興業","紡織纖維","尼龍多富達布、聚酯布、傘骨槽骨、輪胎簾布、棉紗、人造棉紗"
"58","1435","中福","其他業","倉儲業"
"59","1436","福益","建材營造業","建築"
"60","1437","勤益","半導體業","紡織"
"61","1438","裕豐","建材營造業","紡織工業之產銷及其附屬事業暨投資金融與其他經濟事業。"
"62","1439","中和羊毛","紡織纖維","防縮羊毛之銷售"
"63","1440","南紡","紡織纖維","各種紡織品之製造加工及販賣"
"64","1441","大東紡織","紡織纖維","棉紗，混紡紗，化纖紗"
"65","1442","名軒","建材營造業","營建"
"66","1443","立益紡織","紡織纖維","棉紡業"
"67","1444","力麗","紡織纖維","聚酯纖維加工絲"
"68","1445","大宇紡織","紡織纖維","各種紡織品之製造、加工染整及營銷"
"69","1446","宏和","紡織纖維","紡織"
"70","1447","力鵬","紡織纖維","特多龍"
"71","1449","佳和實業","紡織纖維","纖維紡織品之加工及買賣"
"72","1451","年興紡織","紡織纖維","紡紗業"
"73","1452","宏益","紡織纖維","聚酯加工絲"
"74","1453","大將","紡織纖維","紡織"
"75","1454","台富","紡織纖維","特多龍布"
"76","1455","集盛","紡織纖維","各種纖維絲、人造棉絲、尼龍絲之紡製、"
"77","1456","怡華","紡織纖維","成品布製造買賣"
"78","1457","宜進","紡織纖維","各種人造纖維及其製品之假撚製造加工買賣"
"79","1459","聯發紡織","紡織纖維","各種棉麻毛及合成纖維、化學纖維織品之針織加工製造買賣業務。"
"80","1460","宏遠","紡織纖維","加工絲、追撚絲、胚布、成品布、染整等其他業務"
"81","1463","強盛染整","紡織纖維","染整代工"
"82","1464","得力實業","紡織纖維","各種紡織品之印染、整理加工製造及買賣業務"
"83","1465","偉全實業","紡織纖維","棉、人造棉及各種合成纖維之棉織、針織、紡織加工及買賣。"
"84","1466","聚隆","紡織纖維","尼龍原絲、假撚絲、仿棉絲製造、加工及買賣"
"85","1467","南緯實業","紡織纖維","染紗"
"86","1468","昶和纖維","紡織纖維","各類纖維、極細及超極細纖維絲、各種纖維、極細與超極細布種之織"
"87","1469","理隆纖維","紡織纖維","各種化學纖維.天然纖維之紡紗製造、從原料到成品、製造加工及買賣"
"88","1470","大統染","紡織纖維","染整代工業務"
"89","1471","首利","電子零組件業","加工絲"
"90","1472","三洋紡","紡織纖維","聚丙烯(PP)纖維、聚醯胺(NYLON)纖維、聚酯(PET)纖維"
"91","1473","台南企業","紡織纖維","成衣"
"92","1474","弘裕","紡織纖維","各種塑膠製品之加工製造買賣"
"93","1475","本盟光電","紡織纖維","提花布織造、染整與銷售"
"94","1476","儒鴻","紡織纖維","彈性針織布"
"95","1477","聚陽實業","紡織纖維","成衣業"
"96","1503","士電","電機機械","重電機械類"
"97","1504","東元電機","電機機械","各種電氣、運輸、產業、冷凍空調、電子、事務等及其附件之產銷承裝等"
"98","1506","正道","電機機械","引擎、機車、汽車等及其零件之製造買賣"
"99","1507","永大機電","電機機械","電梯"
"100","1512","瑞利","電機機械","一、電氣、機械、五金、工具及農機、車輛配件製造銷售。二、機車"
"101","1513","中興電","電機機械","供電工程及產品"
"102","1514","亞力電機","電機機械","電機器材、電子產品"
"103","1515","力山","電機機械","工具機及其零件之製造加工買賣"
"104","1516","川飛","其他業","太陽能產品整廠輸出業務。"
"105","1517","利奇機械","電機機械","汽、機車、腳踏車零件之製造、加工及買賣"
"106","1519","華城電機","電機機械","變壓器"
"107","1521","大億","電機機械","經營汽、機車、五金等零件之製造、銷售及進出口貿易業務。"
"108","1522","堤維西","電機機械","汽車燈"
"109","1524","耿鼎公司","電機機械","汽車零件"
"110","1525","江申工業","電機機械","底盤、沖壓零組件"
"111","1526","日馳","電機機械","各種腳踏車之零件機械五金之加工製造買賣業務"
"112","1527","鑽全","電機機械","氣動打釘機及各種氣動機械等之製造加工、裝配買賣."
"113","1528","恩德","電機機械","非金屬電腦數控加工中心"
"114","1529","樂士","電機機械","高低壓配電盤自動控制盤馬達起動盤及試驗儀器設計製造安裝及買賣"
"115","1530","亞崴機電","電機機械","專用機及自動化設備、電腦控制工具機之設計、製造及銷售"
"116","1531","高林股","電機機械","各種縫紉機及其零件之加工製造﹑裝配買賣業務。"
"117","1532","勤美","鋼鐵工業","鑄件業務"
"118","1533","車王電","電機機械","電子零組件製造業(電子點火器、電壓調整器、整流器)；"
"119","1535","中宇","電機機械","環保工程"
"120","1536","和大工業","電機機械","汽、機車、農業機械等之齒輪、軸類製造及買賣。"
"121","1537","廣隆光電","電機機械","各種蓄電池極板製造、買賣、內外銷"
"122","1538","正峰新","電機機械","電動工具及其零件製造買賣"
"123","1539","巨庭機械","電機機械","鑽床.車床.銑床.自動鉋床等機械及其零件.五金工具製造買賣"
"124","1540","喬福機械","電機機械","各種工作母機及其零配件製造加工買賣。"
"125","1541","錩泰","電機機械","主要經營手工具、電腦機械、馬達、電動工具、自動控制系統。"
"126","1560","中砂","電機機械","各種研磨品、各種切削刀具、之製造加工經銷及代理研磨加工"
"127","1603","華電","電器電纜","鋁線、鋁電線電纜、交連聚乙烯電纜及其配件等製造及買賣等業務。"
"128","1604","聲寶","電器電纜","電子.電化等製品之製造.加工.承攬.批發.零售等業務"
"129","1605","華新","電器電纜","電線電纜、鋼線鋼纜及特殊鋼之生產與銷售"
"130","1608","華榮","電器電纜","各種電線電纜及銅製品等之加工、製造、銷售及施工等"
"131","1609","大亞電線","電器電纜","發電輸電配電機械製造業、電線電纜製造業、其他塑膠製品製造業"
"132","1611","中電","電器電纜","電器、照明產品等之製造與銷售及進出口貿易業務、"
"133","1612","宏泰","電器電纜","各種電線、電纜之製造、加工、銷售"
"134","1613","台一","電器電纜","電線電纜及漆包線之產銷"
"135","1614","三洋電","電器電纜","電冰箱、冷氣機、洗衣機、電視機等家電製品製造販賣。"
"136","1615","大山","電器電纜","各項電線電纜之配件、絕緣材料、銅線之製造、加工及銷售。"
"137","1616","億泰","電器電纜","裸銅線、鍍錫線、電子線、電源線、電腦線、隔離線、同軸電纜、PVC電線"
"138","1617","榮星電線","電器電纜","漆包線、鍍錫銅線、電子線、偏向軛、馳返變壓器、消磁線圈、線圈"
"139","1618","合機公司","電器電纜","電線電纜、金屬之製造、加工、銷售"
