"id","stockid","year","quarter","isConsolidating","NetIncome","OperatingActivities","InvestingActivities","FinancingActivities","FinancingActivities_Dividend"
"1","1101","2012","1","0","1468","1628","48","0","0"
"2","1101","2011","4","0","1999","1196","-27","0","0"
"3","1101","2011","3","0","2570","3495","-21","-7384","-7384"
"4","1101","2011","2","0","2731","163","-431","0","0"
"5","1101","2011","1","0","1320","3676","-53","0","0"
"6","1101","2010","4","0","2635","1769","-46","0","0"
"7","1101","2010","3","0","2559","1825","414","-5926","-5926"
"8","1101","2010","2","0","1912","2524","-33","0","0"
"9","1102","2012","1","0","1661","147","-46","0","0"
"10","1102","2011","4","0","1773","-329","-129","0","0"
"11","1102","2011","3","0","2326","5879","-111","-5843","-5843"
"12","1102","2011","2","0","3690","-480","-58","0","0"
"13","1102","2011","1","0","2227","1271","-88","0","0"
"14","1102","2010","4","0","2442","-120","-97","0","0"
"15","1102","2010","3","0","1509","3724","-56","-5374","-5374"
"16","1102","2010","2","0","2111","324","-91","0","0"
"17","1103","2012","1","0","200","61","121","0","0"
"18","1103","2011","4","0","31","-488","-65","0","0"
"19","1103","2011","3","0","-533","55","-297","-220","-220"
"20","1103","2011","2","0","328","1073","-130","0","0"
"21","1103","2011","1","0","334","414","-116","0","0"
"22","1103","2010","4","0","180","11","-24","0","0"
"23","1103","2010","3","0","347","-31","29","-144","-144"
"24","1103","2010","2","0","-73","13","-1220","0","0"
"25","1104","2012","1","0","144","-22","-16","0","0"
"26","1104","2011","4","0","134","290","103","0","0"
"27","1104","2011","3","0","168","100","978","-604","-604"
"28","1104","2011","2","0","-34","-48","1","0","0"
"29","1104","2011","1","0","122","-70","1356","0","0"
"30","1104","2010","4","0","213","240","236","0","0"
"31","1104","2010","3","0","582","323","-137","-302","-302"
"32","1104","2010","2","0","521","100","-27","0","0"
"33","1107","2012","1","0","33","-51","130","0",NULL
"34","1107","2011","4","0","-118","-2","3","0",NULL
"35","1107","2011","3","0","-84","-20","20","0",NULL
"36","1107","2011","2","0","-97","-11","10","0",NULL
"37","1107","2011","1","0","-100","-14","9","0",NULL
"38","1107","2010","4","0","-98","67","3","0",NULL
"39","1107","2010","3","0","-90","1","16","0",NULL
"40","1107","2010","2","0","-88","-1","-2","0",NULL
"41","1108","2012","1","0","121","-3","62","0","0"
"42","1108","2011","4","0","16","33","-29","0","0"
"43","1108","2011","3","0","-37","-44","8","0","0"
"44","1108","2011","2","0","-43","60","-34","0","0"
"45","1108","2011","1","0","-77","55","-61","0","0"
"46","1108","2010","4","0","-39","41","17","0","0"
"47","1108","2010","3","0","-60","167","-26","-69","-69"
"48","1108","2010","2","0","-55","108","-94","0","0"
"49","1109","2012","1","0","16","71","-30","0","0"
"50","1109","2011","4","0","75","70","-45","0","0"
"51","1109","2011","3","0","2","61","-20","-118","-118"
"52","1109","2011","2","0","30","45","-134","0","0"
"53","1109","2011","1","0","-35","27","348","0","0"
"54","1109","2010","4","0","-6","58","50","0","0"
"55","1109","2010","3","0","-12","-12","94","-147","-147"
"56","1109","2010","2","0","-8","-16","-12","0","0"
