"id","StockID","year","Dividend_Cash","Dividend_Stock"
"1","1101","2000","0","0.3"
"2","1101","2001","0","0.2"
"3","1101","2002","0.1","0.2"
"4","1101","2003","0.35","0.35"
"5","1101","2004","0.7","0.5"
"6","1101","2005","1.40594","0.15622"
"7","1101","2006","1.7","0.1"
"8","1101","2007","1.9","0.1"
"9","1101","2008","1.32","0"
"10","1101","2009","1.8","0"
"11","1101","2010","2","0"
"12","1101","2011","1.9","0"
"13","1102","2000","0.25","0.25"
"14","1102","2001","0.2","0"
"15","1102","2002","0.5","0"
"16","1102","2003","0.65","0.65"
"17","1102","2004","1.2","0.8"
"18","1102","2005","1.2","0.8"
"19","1102","2006","1.5","0.8"
"20","1102","2007","2.4","0.6"
"21","1102","2008","1.8","0.3"
"22","1102","2009","1.8","0.3"
"23","1102","2010","1.9","0.2"
"24","1102","2011","2.3","0.3"
"25","1103","2000","0","0"
"26","1103","2001","0","0"
"27","1103","2002","0","0"
"28","1103","2003","0","0"
"29","1103","2004","0","0"
"30","1103","2005","0","0"
"31","1103","2006","0","0"
"32","1103","2007","0","1.00211"
"33","1103","2008","0","0"
"34","1103","2009","0.2","0.2"
"35","1103","2010","0.3","0.3"
"36","1103","2011","0.2","0.3"
"37","1104","2000","0.1","0"
"38","1104","2001","0","0"
"39","1104","2002","0","0.7"
"40","1104","2003","0","1.2"
"41","1104","2004","0","1.1"
"42","1104","2005","0","1.1"
"43","1104","2006","0","1"
"44","1104","2007","0","0.8"
"45","1104","2008","0","0"
"46","1104","2009","0.5","0"
"47","1104","2010","1","0"
"48","1104","2011","0.6","0"
"49","1108","2000","0","0"
"50","1108","2001","0","0"
"51","1108","2002","0.11","0"
"52","1108","2003","0.15","0"
"53","1108","2004","0.3","0"
"54","1108","2005","0.45","0"
"55","1108","2006","0.45","0"
"56","1108","2007","0.25","0"
"57","1108","2008","0","0"
"58","1108","2009","0.17","0"
"59","1108","2010","0","0"
"60","1108","2011","0","0"
"61","1109","2011","0.35","0"
"62","1109","2010","0.28","0"
"63","1109","2009","0.35","0"
"64","1109","2008","0.2","0"
"65","1109","2007","0.5","0"
"66","1110","2011","0.1","0"
"67","1110","2010","0.1","0"
"68","1110","2009","0.2","0"
"69","1110","2008","0","0"
"70","1110","2007","0.4","0"
"71","1201","2011","0.6","0"
"72","1201","2010","0.6","0"
"73","1201","2009","0.6","0"
"74","1201","2008","0","0"
"75","1201","2007","0","0"
"76","1203","2011","0.5","0"
"77","1203","2010","0.5","0"
"78","1203","2009","0.5768306","0.9231694"
"79","1203","2008","0.5","0.5"
"80","1203","2007","0","0"
"81","1210","2011","1.2","0.5"
"82","1210","2010","1.18716565","0.4946523612"
"83","1210","2009","1.2","0.5"
"84","1210","2008","1.2","0.5"
"85","1210","2007","1.48005","0.49335"
"86","1213","2011","0","0"
"87","1213","2010","0","0"
"88","1213","2009","0","0"
"89","1213","2008","0","0"
"90","1213","2007","0","0"
"91","1215","2011","0.3","0"
"92","1215","2010","1","0"
"93","1215","2009","1","0"
"94","1215","2008","0.7","0"
"95","1215","2007","1","0"
"96","1216","2011","1","0.7"
"97","1216","2010","1.4","0.6"
"98","1216","2009","0.8","1"
"99","1216","2008","0.44","0.44"
"100","1216","2007","2","0.5"
"101","1217","2011","0","0"
"102","1217","2010","0","0"
"103","1217","2009","0","0"
"104","1217","2008","0","0"
"105","1217","2007","0","0"
"106","1218","2011","0.2","0.3"
"107","1218","2010","0.35","0.3"
"108","1218","2009","0.2","0.4"
"109","1218","2008","0","0"
"110","1218","2007","0","0"
"111","1219","2011","0.5","0.5"
"112","1219","2010","0.45","0.3"
"113","1219","2009","0.32","0.35"
"114","1219","2008","0","0"
"115","1219","2007","0.3","0.3"
"116","1220","2011","0","0"
"117","1220","2010","0","0"
"118","1220","2009","0","0"
"119","1220","2008","0","0"
"120","1220","2007","0","0"
"121","1225","2011","0.3","0.3"
"122","1225","2010","0.4","0.4"
"123","1225","2009","0","0.336533744"
"124","1225","2008","0","0"
"125","1225","2007","0.25","0"
"126","1227","2011","2.4","2.4"
"127","1227","2010","2.5","2.5"
"128","1227","2009","2","1.5"
"129","1227","2008","1.4","0.05"
"130","1227","2007","0.9","0"
"131","1229","2011","0.9999941","0"
"132","1229","2010","1.19966439","0.29991609"
"133","1229","2009","0.8","0"
"134","1229","2008","0.25","0.35"
"135","1229","2007","0.69976","0.49983"
"136","1231","2011","1.2","0.3"
"137","1231","2010","1.1","0.3"
"138","1231","2009","0.7","0"
"139","1231","2008","0.7","0"
"140","1231","2007","0.6","0"
"141","1232","2011","3","0"
"142","1232","2010","3.5","0"
"143","1232","2009","3","0"
"144","1232","2008","2.4","0"
"145","1232","2007","2.6","0"
"146","1233","2011","2.3","0"
