stock, y_true, y_pred, error(%) 
1227, 2.0, 1.6800000000000002, -15.999999999999993
1232, 5.0, 4.32, -13.599999999999996
1476, 9.5, 8.2, -13.684210526315796
1477, 6.0, 7.467999999999999, 24.46666666666665
1507, 2.0, 2.5799999999999996, 28.999999999999982
1521, 5.2, 4.34, -16.538461538461544
1527, 1.4, 2.6799999999999997, 91.42857142857143
1535, 1.25, 3.3600000000000003, 168.8
1536, 3.75, 2.0700000000000003, -44.79999999999999
1537, 9.5, 6.6, -30.526315789473692
1707, 6.7, 5.2, -22.388059701492537
1723, 4.6, 6.6, 43.47826086956522
1808, 3.5, 3.46, -1.142857142857144
2105, 1.8, 2.7, 50.000000000000014
2106, 1.2, 1.9899999999999998, 65.83333333333331
2207, 12.0, 10.6, -11.66666666666667
2227, 21.0, 19.454, -7.361904761904759
2308, 5.0, 5.42, 8.399999999999999
2330, 8.0, 4.7, -41.25
2383, 4.8, 3.0200000000000005, -37.08333333333332
2385, 4.45, 4.38, -1.5730337078651748
2395, 6.6, 5.7, -13.63636363636363
2404, 5.0, 3.34, -33.2
2420, 2.7, 2.7600000000000002, 2.222222222222224
2439, 16.442, 4.64, -71.77958885780319
2450, 3.25, 3.3, 1.538461538461533
2451, 6.0, 6.76, 12.666666666666663
2458, 2.58, 2.7410414, 6.241914728682161
4763, 5.0, 3.3333333333333335, -33.33333333333333
2474, 12.0, 7.4, -38.33333333333333
2539, 1.5, 0.8300000000000001, -44.66666666666666
2542, 3.5, 4.0, 14.285714285714285
2545, 1.5, 4.24, 182.66666666666669
2548, 5.2, 5.32, 2.3076923076923097
2707, 6.912000000000001, 8.721623699999999, 26.180898437499966
2809, 1.5, 1.3, -13.33333333333333
2904, 1.2, 1.9899999999999998, 65.83333333333331
2912, 25.0, 6.609999999999999, -73.56
2915, 4.0, 3.12, -21.999999999999996
3008, 72.5, 44.7, -38.34482758620689
3022, 0.5, 2.2800000000000002, 356.00000000000006
3023, 4.0, 2.8200000000000003, -29.499999999999993
3030, 3.0, 3.66, 22.000000000000007
3034, 7.1, 7.5200000000000005, 5.9154929577464905
3045, 5.6, 5.58, -0.35714285714284955
3056, 2.0, 1.46, -27.0
4904, 3.75, 3.7, -1.3333333333333286
5434, 4.2, 3.960000000000001, -5.714285714285698
5534, 6.2, 5.9, -4.838709677419352
6128, 0.5, 2.51, 401.99999999999994
6189, 1.8, 2.7399999999999998, 52.2222222222222
6192, 3.3, 2.9, -12.12121212121212
6202, 4.1, 3.274, -20.146341463414625
6206, 4.5, 5.3, 17.77777777777777
6269, 5.0, 3.2, -36.0
6277, 5.5, 5.0, -9.090909090909092
6281, 4.0, 4.0600000000000005, 1.5000000000000124
8016, 5.5, 4.2, -23.636363636363633
9910, 5.0, 3.88, -22.400000000000002
9914, 2.0, 5.5600000000000005, 178.00000000000003
9917, 4.0, 3.6799999999999997, -8.000000000000007
9921, 3.5, 5.859999999999999, 67.42857142857142
9930, 1.0, 3.3200000000000003, 232.00000000000003
9941, 5.9, 4.5440000000000005, -22.983050847457623
9942, 4.2, 3.84, -8.571428571428578
9943, 4.0, 3.4, -15.000000000000002
9945, 2.0, 2.262, 13.100000000000001
1565, 25.0, 22.869999999999997, -8.52000000000001
2059, 5.0, 8.17, 63.4
3088, 5.53, 3.316, -40.036166365280295
3213, 4.0, 2.84, -29.000000000000004
4103, 3.0, 4.04, 34.66666666666667
4105, 4.5, 2.64, -41.333333333333336
4107, 3.5, 2.2199999999999998, -36.57142857142858
4113, 0.11192169999999999, 1.1009176999999999, 883.649908820184
4126, 2.5, 2.8, 11.999999999999993
4305, 2.4, 1.9999999999999996, -16.666666666666682
4401, 3.0, 3.3199999999999994, 10.666666666666647
4416, 2.0, 5.1, 154.99999999999997
4907, 1.5, 0.0, -100.0
5007, 3.0, 2.2, -26.66666666666666
5209, 2.877, 3.2665999999999995, 13.541883906847401
5306, 4.5, 1.7399999999999998, -61.33333333333334
5312, 3.8, 3.72, -2.105263157894727
5347, 3.0, 2.2, -26.66666666666666
5356, 2.0, 4.220000000000001, 111.00000000000003
5386, 1.0, 0.58, -42.00000000000001
5388, 3.75, 3.3899999999999997, -9.600000000000009
5474, 3.3, 2.8600000000000003, -13.33333333333332
5489, 1.5, 3.2600000000000002, 117.33333333333336
5490, 1.0, 3.22622, 222.622
5508, 2.722, 6.227399999999999, 128.7803085966201
