stock, y_true, y_pred, error(%) 
1227, 1.6, 2.06, 28.749999999999996
1231, 1.0, 0.9800000000000001, -1.9999999999999907
1232, 3.8, 2.9400000000000004, -22.631578947368407
1233, 2.3, 1.98, -13.913043478260864
1234, 1.5, 0.8699999999999999, -42.00000000000001
1414, 0.48, 0.13599999999999998, -71.66666666666667
1439, 0.5, 2.2, 340.00000000000006
1442, 4.0, 1.64, -59.00000000000001
1476, 7.0, 2.2800000000000002, -67.42857142857143
1477, 7.2, 4.79904892, -33.346542777777785
1521, 3.7, 3.1, -16.216216216216218
1535, 3.5, 3.079751166, -12.007109542857146
1537, 5.5, 2.992806016, -45.58534516363636
1707, 5.0, 2.44, -51.2
1723, 8.3, 6.57, -20.843373493975907
1733, 3.3, 3.6580000000000004, 10.848484848484865
1808, 0.3, 1.930468, 543.4893333333334
2103, 1.37, 3.4200000000000004, 149.63503649635038
2105, 3.0, 1.58, -47.333333333333336
2106, 1.8, 1.1, -38.888888888888886
2207, 9.5, 5.9, -37.89473684210526
2227, 19.47, 5.82, -70.10785824345146
2308, 5.8, 4.33779521, -25.210427413793095
2311, 1.3, 0.641794068, -50.631225538461536
2330, 3.0, 2.9997237600000006, -0.009207999999979084
2347, 2.8, 2.3898062700000002, -14.649776071428558
2357, 19.5, 10.32, -47.07692307692308
2360, 2.5, 2.4623900480000005, -1.50439807999998
2374, 2.2, 2.419963724, 9.998351090909084
2382, 3.8, 3.756209002, -1.1523946842105255
2383, 1.8, 1.2434394839999998, -30.920028666666678
2385, 4.6, 3.613066574, -21.455074478260865
2395, 5.3, 4.072779928, -23.155095698113204
2404, 2.4, 2.25144, -6.189999999999992
2430, 2.0, 3.1, 55.00000000000001
2450, 4.0, 3.974524478, -0.6368880499999952
2454, 15.0, 15.599529638000002, 3.9968642533333445
2457, 0.49530506, 2.411614, 386.8946826426526
2462, 1.4, 2.216648592, 58.33204228571428
2474, 5.0, 3.536080286, -29.278394280000004
2542, 2.0, 3.886186000000001, 94.30930000000004
2545, 4.0, 2.9, -27.500000000000004
2547, 1.0, 1.12072599, 12.072598999999995
2548, 5.5, 5.531617842, 0.5748698545454577
2707, 8.27, 9.7022, 17.318016928657798
2809, 1.5, 0.3, -80.0
2850, 1.0, 1.430190148, 43.01901480000001
2904, 2.0, 1.8239999999999998, -8.800000000000008
2912, 6.0, 4.037999999999999, -32.70000000000001
3004, 1.0, 0.24, -76.0
3008, 28.5, 13.5, -52.63157894736842
3022, 2.4, 1.932940816, -19.460799333333334
3030, 3.3, 2.04, -38.18181818181818
3033, 2.0155, 1.7677325999999998, -12.293098486727864
3034, 6.0, 5.09926882, -15.012186333333336
3036, 2.5, 2.3181944280000004, -7.272222879999983
3042, 2.2, 2.179263002, -0.9425908181818311
3044, 2.25, 3.0599999979999994, 35.99999991111108
3045, 5.6, 4.907354, -12.36867857142857
3056, 1.8, 0.4, -77.77777777777777
3060, 2.1, 3.114229, 48.29661904761904
3231, 1.8, 2.119583838, 17.754657666666667
3311, 1.0, 4.380000000000001, 338.00000000000006
3356, 7.2, 7.336208958, 1.8917910833333347
5434, 3.6, 2.7, -24.999999999999996
5471, 3.2, 3.478, 8.6875
5534, 6.5, 5.88, -9.53846153846154
6115, 3.5, 3.4310874, -1.968931428571428
6128, 2.25, 2.369999998, 5.333333244444441
6166, 1.5, 1.339434988, -10.704334133333331
6184, 2.5, 2.7600000000000002, 10.40000000000001
6192, 3.0, 2.8, -6.666666666666672
6202, 3.3, 2.5733079279999997, -22.020971878787883
