stock, dividend_cash_true, dividend_cash_pred, yield_pred, price_buy, price_hold, return 
1442, 2.0, 2.2, 0.09128630705394192, 24.1, 16.9, -0.21576763485477188
1521, 4.3, 3.6399999999999997, 0.05126760563380281, 71.0, 82.5, 0.22253521126760564
1733, 2.5, 4.018, 0.0688013698630137, 58.4, 43.1, -0.21917808219178078
1808, 4.0, 1.950468, 0.06523304347826088, 29.9, 25.15, -0.02508361204013378
2103, 1.52, 3.1340000000000003, 0.07776674937965262, 40.3, 23.95, -0.36799007444168735
2404, 2.5, 2.5374399999999997, 0.08068171701112876, 31.45, 42.85, 0.44197138314785384
2430, 0.4, 3.2, 0.09667673716012085, 33.1, 20.55, -0.36706948640483383
2450, 1.5, 3.9840347140000008, 0.07603119683206108, 52.4, 39.8, -0.2118320610687023
2462, 1.1, 2.2800000000000002, 0.09065606361829028, 25.15, 17.0, -0.2803180914512922
2498, 0.38, 21.0, 0.13043478260869565, 161.0, 78.4, -0.5106832298136645
2542, 4.0, 3.8269240000000004, 0.057547729323308275, 66.5, 33.05, -0.4428571428571429
2545, 4.0, 3.7, 0.07644628099173555, 48.4, 21.35, -0.47623966942148754
2547, 1.0, 1.3207259900000001, 0.07440709802816903, 17.75, 10.25, -0.36619718309859156
2548, 5.0, 5.6498879980000005, 0.09262111472131149, 61.0, 54.4, -0.026229508196721336
2850, 1.068, 1.630190148, 0.06494781466135457, 25.1, 22.6, -0.057051792828685256
2904, 2.0, 2.1239999999999997, 0.07794495412844035, 27.25, 25.8, 0.020183486238532135
3033, 1.948334, 1.9888019999999997, 0.08391569620253164, 23.7, 18.95, -0.1182137552742616
3052, 0.4, 0.7200000000000001, 0.05853658536585366, 12.3, 9.31, -0.2105691056910569
3311, 1.2, 4.01, 0.17247311827956988, 23.25, 17.65, -0.18924731182795704
3356, 5.4, 6.776208958000001, 0.056942932420168076, 119.0, 71.9, -0.35042016806722687
5434, 3.7, 3.16, 0.055052264808362374, 57.4, 54.0, 0.005226480836236962
5471, 3.2, 3.5200000000000005, 0.07505330490405118, 46.9, 36.05, -0.16311300639658852
5534, 4.0, 6.44, 0.09387755102040818, 68.6, 43.85, -0.3024781341107871
6115, 3.5, 3.6396138000000002, 0.08376556501726122, 43.45, 33.8, -0.1415420023014961
6128, 2.8, 2.479999998, 0.07106017186246417, 34.9, 34.0, 0.05444126074498571
6184, 2.0, 2.66, 0.05018867924528302, 53.0, 49.15, -0.03490566037735852
6281, 3.9, 3.8880000000000003, 0.06270967741935485, 62.0, 55.5, -0.041935483870967745
8072, 1.43, 6.4, 0.12307692307692308, 52.0, 25.1, -0.4898076923076923
