stock, dividend_cash_true, dividend_cash_pred, yield_pred, price_buy, price_hold, return 
1232, 5.0, 4.8764786725282185, 0.06820249891647859, 71.5, 76.0, 0.13286713286713286
1442, 1.0, 1.88585287331655, 0.07825115656915145, 24.1, 17.45, -0.23443983402489635
1521, 5.0, 4.463681586034473, 0.0628687547328799, 71.0, 89.9, 0.33661971830985926
1537, 7.5, 6.875080795958947, 0.07044140159794003, 97.6, 141.0, 0.521516393442623
2227, 12.5, 20.390305755477755, 0.06123214941584911, 333.0, 279.0, -0.12462462462462462
2404, 4.0, 3.4217792702404206, 0.10880061272624549, 31.45, 43.95, 0.5246422893481718
2904, 2.0, 2.021314143660595, 0.07417666582240715, 27.25, 25.9, 0.02385321100917426
2915, 1.6, 7.761545984811793, 0.11248617369292453, 69.0, 62.2, -0.07536231884057967
3030, 4.0, 3.2740055940427752, 0.0635729241561704, 51.5, 49.0, 0.02912621359223301
5434, 3.9, 3.9658888984207086, 0.06909214108746879, 57.4, 54.5, 0.01742160278745647
5471, 2.2, 2.583031951745042, 0.055075308139553136, 46.9, 36.3, -0.17910447761194034
6189, 3.0, 2.88194668289114, 0.07895744336688056, 36.5, 30.5, -0.0821917808219178
6202, 3.57, 3.448711618382065, 0.05571424262329669, 61.9, 51.3, -0.11357027463651052
6277, 5.2, 5.110922499688431, 0.06048428993714119, 84.5, 71.3, -0.09467455621301779
6281, 3.7, 3.705339120202669, 0.05976353419681724, 62.0, 57.1, -0.019354838709677392
6285, 3.7, 3.541466286509501, 0.05095634944617987, 69.5, 89.9, 0.34676258992805764
9930, 3.5, 3.8250209207895574, 0.05283178067388891, 72.4, 60.2, -0.12016574585635362
9943, 4.0, 3.3090141584945534, 0.08377251034163426, 39.5, 53.5, 0.45569620253164556
3088, 4.3, 4.288094247426693, 0.054695079686564965, 78.4, 67.0, -0.09056122448979599
3211, 3.5, 4.1604374185583035, 0.05614625396165052, 74.1, 48.5, -0.29824561403508765
3213, 3.1, 3.0673993484039763, 0.071501150312447, 42.9, 43.0, 0.07459207459207463
3265, 0.25, 2.349219821855424, 0.056813054942090054, 41.35, 23.4, -0.42805320435308347
4103, 4.0, 4.178230717620173, 0.053567060482309914, 78.0, 93.5, 0.25
5349, 2.5685, 2.555913448619449, 0.0570516394781127, 44.8, 33.9, -0.18597098214285712
5439, 1.5, 1.5666363829865202, 0.06610280096989538, 23.7, 18.9, -0.13924050632911394
5490, 4.5, 4.737698161863617, 0.07741336865790223, 61.2, 75.8, 0.31209150326797375
5706, 2.7, 2.3339324736750546, 0.054151565514502426, 43.1, 38.65, -0.04060324825986085
6210, 4.0, 4.149443429826466, 0.08680843995452858, 47.8, 44.95, 0.024058577405857862
6213, 1.6, 1.389978165242879, 0.05110213842804703, 27.2, 23.9, -0.06250000000000003
6224, 4.3, 5.4603517966479735, 0.08029929112717608, 68.0, 66.6, 0.04264705882352932
6263, 3.8, 3.3353569119019326, 0.06827752122624223, 48.85, 44.1, -0.019447287615148415
6279, 5.6, 6.200866992486734, 0.0529988631836473, 117.0, 140.0, 0.24444444444444446
6292, 2.0, 3.0262993025611804, 0.09516664473462831, 31.8, 29.0, -0.025157232704402538
8083, 7.8, 7.3933883456928875, 0.052250094315850794, 141.5, 133.0, -0.004946996466431096
8091, 3.0, 4.3513786933249765, 0.08225668607419616, 52.9, 65.0, 0.2854442344045369
8109, 4.5, 4.515677396907167, 0.05856909723615003, 77.1, 60.2, -0.16083009079118019
8299, 12.0, 11.858700382197023, 0.05144772400085476, 230.5, 244.0, 0.11062906724511931
1558, 9.5, 8.653819842548856, 0.053418641003388, 162.0, 144.0, -0.05246913580246913
8255, 6.5, 5.99725127730663, 0.052839218302261064, 113.5, 122.5, 0.13656387665198239
3556, 3.7, 3.735539577512646, 0.05509645394561425, 67.8, 52.8, -0.16666666666666669
1773, 3.0, 2.5833110116442475, 0.057279623318054265, 45.1, 40.45, -0.03658536585365851
3131, 12.0, 10.762759072056536, 0.06275661266505268, 171.5, 245.0, 0.49854227405247814
6803, 9.6934, 10.278456970594801, 0.06191841548551085, 166.0, 160.0, 0.022249397590361448
4919, 1.8, 1.5468278296055769, 0.052434841681544976, 29.5, 32.35, 0.15762711864406784
4958, 4.5, 4.80397659820921, 0.05221713693705663, 92.0, 78.0, -0.10326086956521739
4960, 0.5, 1.858750749529164, 0.053876833319685916, 34.5, 20.4, -0.39420289855072466
8422, 10.0, 10.214307677562964, 0.06547633126642925, 156.0, 177.0, 0.1987179487179487
1258, 1.51709296, 4.802970878038223, 0.19366818056605736, 24.8, 40.0, 0.674076329032258
3628, 3.25, 3.620823683382859, 0.057933178934125744, 62.5, 53.4, -0.09360000000000002
4974, 2.65, 2.583708025779295, 0.06115285268116674, 42.25, 38.2, -0.033136094674556145
8424, 2.5, 2.117819131113407, 0.0506049971592212, 41.85, 39.3, -0.001194743130227103
8433, 5.5, 3.1153447950577093, 0.061085192059955086, 51.0, 196.0, 2.950980392156863
2929, 5.5, 7.165243784528687, 0.05971036487107239, 120.0, 137.0, 0.1875
3558, 13.0, 12.52494027580581, 0.0660946716401362, 189.5, 244.0, 0.3562005277044855
4137, 10.0, 9.975782261049067, 0.058167826595038295, 171.5, 349.5, 1.096209912536443
2066, 6.0, 5.821461761912965, 0.05129041199923317, 113.5, 105.5, -0.01762114537444934
2731, 4.6, 5.207994304986061, 0.053415326204985236, 97.5, 119.0, 0.26769230769230773
5225, 3.0, 4.930129010823036, 0.07888206417316858, 62.5, 48.4, -0.17760000000000004
8429, 0.4, 4.351052474525773, 0.05960345855514757, 73.0, 57.7, -0.20410958904109586
4175, 4.0, 4.092020861349245, 0.05134279625281361, 79.7, 77.1, 0.017565872020075174
4977, 3.0, 4.303416594613444, 0.050688063540794394, 84.9, 58.0, -0.28150765606596
5289, 4.5, 5.039881184533099, 0.052226748026249735, 96.5, 92.3, 0.0031088082901554108
2235, 5.0, 5.210660228127747, 0.051084904197330853, 102.0, 136.5, 0.3872549019607843
