stock, dividend_cash_true, dividend_cash_pred, yield_pred, price_buy, price_hold, return 
2904, 2.0, 1.917602393435235, 0.07037073003432055, 0.08510943752943875, 27.25, 18.9, -0.11009174311926612
5434, 3.7, 3.618864149075042, 0.06304641374695195, 0.18431486921384277, 57.4, 89.0, 0.8089986062717771
6115, 3.5, 3.4350220843632706, 0.07905689492205456, 0.01587394546083503, 43.45, 45.1, 0.29113924050632906
6277, 5.7, 5.306091962805384, 0.06279398772550751, 0.1280043151146473, 84.5, 88.0, 0.23905325443786982
9943, 3.0, 2.741222477186356, 0.06939803739712293, 0.03948205422352556, 39.5, 54.1, 0.6481012658227848
3211, 5.0, 5.136553999654038, 0.06931921726928526, 0.07151783746031595, 74.1, 46.3, -0.21997300944669362
3213, 3.1, 2.70284143184172, 0.06300329677952728, 0.17548771589456183, 42.9, 57.2, 0.5571095571095572
4416, 4.5, 12.768693593845136, 0.12160660565566796, 0.8210063160014311, 105.0, 80.0, -0.13333333333333333
5209, 2.53, 3.7388309723170554, 0.06860240316178083, 0.5722977225898321, 54.5, 47.2, 0.004825688073394543
5356, 5.5, 4.6812156730787775, 0.0689427934179496, 0.16716550901253077, 67.9, 39.95, -0.21281296023564067
5439, 1.6, 1.6772104017631388, 0.07076837138241092, 0.21752369365159674, 23.7, 35.2, 0.7004219409282701
5489, 4.0, 5.335646845187404, 0.07369677962966027, 0.21979660055519012, 72.4, 37.85, -0.3487569060773481
6210, 4.0, 3.8198954855611285, 0.07991413149709474, 0.21873436279295877, 47.8, 41.75, 0.08263598326359839
6213, 1.2, 1.7277333394478256, 0.06351960806793476, 0.03585346976896207, 27.2, 62.2, 1.4816176470588234
6224, 4.2, 4.425816381171069, 0.0650855350172216, 0.04820209642064821, 68.0, 56.0, 0.015441176470588246
8042, 3.0, 3.2346602966705715, 0.06676285442044523, 0.030511223008701356, 48.45, 69.8, 0.6367389060887512
8081, 6.0, 5.95613967883712, 0.06363397092774702, 0.04351676053682707, 93.6, 68.4, -0.09829059829059818
8091, 4.007683999999999, 4.33934717018855, 0.08202924707350757, 0.22768185406011365, 52.9, 127.0, 1.6018698865784498
8103, 3.0, 4.17854369531051, 0.07305146320472919, 0.302212956708381, 57.2, 30.85, -0.3863636363636364
1258, 1.3, 2.078032774229635, 0.0837916441221627, 0.08816751028646655, 24.8, 28.95, 0.3345601999999999
3628, 4.0, 4.1091882499244266, 0.06574701199879082, 0.2793001116027094, 62.5, 39.75, -0.2
