stock, dividend_cash_true, dividend_cash_pred, yield_pred, price_buy, price_hold, return 
1227, 1.6, None, None, 76.9, 69.2, -0.020806241872561807
1232, 5.0, None, None, 85.9, 122.0, 0.5948777648428404
1233, 1.6, None, None, 37.5, 38.6, 0.1826666666666667
1442, 1.0, None, None, 18.05, 18.8, 0.2520775623268698
1476, 10.5, None, None, 338.5, 390.0, 0.24372230428360414
1477, 6.72, None, None, 128.5, 152.0, 0.3371206225680934
1507, 2.4, None, None, 45.3, 61.1, 0.4856512141280354
1521, 5.2, None, None, 82.9, 62.0, -0.08082026537997594
1527, 4.1, None, None, 97.7, 47.7, -0.41453428863868985
1535, 1.8, None, None, 49.9, 34.4, -0.22745490981963928
1536, 3.5, None, None, 134.0, 120.0, -0.024253731343283583
1537, 9.0, None, None, 164.5, 151.5, 0.09422492401215805
1707, 6.4, None, None, 188.0, 192.0, 0.12553191489361704
1723, 4.5, None, None, 124.0, 120.0, 0.08387096774193548
1733, 1.5, None, None, 41.7, 25.75, -0.29016786570743414
1736, 1.15, None, None, 47.0, 73.3, 0.6042553191489362
1808, 5.0, None, None, 35.0, 59.5, 1.1714285714285715
2105, 3.0, None, None, 64.1, 39.35, -0.2940717628705148
2106, 2.0, None, None, 49.7, 28.9, -0.3340040241448693
2207, 12.0, None, None, 370.0, 622.0, 0.7783783783783784
2227, 22.0, None, None, 199.5, 270.0, 0.6574937343358397
2308, 5.0, None, None, 175.0, 143.0, -0.09714285714285714
2330, 7.0, None, None, 186.5, 320.0, 0.839142091152815
2382, 3.5, None, None, 64.2, 62.0, 0.1285046728971962
2383, 4.7, None, None, 114.5, 115.5, 0.12489082969432315
2385, 4.25, None, None, 75.0, 85.9, 0.31200000000000006
2395, 6.3, None, None, 268.0, 291.0, 0.15932835820895525
2404, 6.0, None, None, 51.6, 188.0, 3.050387596899225
2420, 3.0, None, None, 37.05, 35.75, 0.1943319838056681
2433, 2.7, None, None, 40.65, 53.6, 0.5571955719557197
2450, 4.0, None, None, 53.3, 31.9, -0.23827392120075047
2451, 6.0, None, None, 87.1, 81.0, 0.12514351320321476
2458, 1.57, None, None, 35.75, 86.3, 1.6699300699300699
4763, 5.0, None, None, 139.5, 131.5, 0.043010752688172046
2474, 10.0, None, None, 256.0, 244.0, 0.0859375
2493, 2.3, None, None, 27.35, 27.7, 0.2522851919561242
2497, 0.5, None, None, 34.25, 20.1, -0.39854014598540144
2538, 1.0, None, None, 9.81, 11.95, 0.4627930682976553
2539, 1.6, None, None, 25.65, 29.95, 0.2962962962962964
2542, 5.0, None, None, 46.95, 45.25, 0.21938232161874327
2545, 4.5, None, None, 40.05, 36.15, 0.0973782771535581
2548, 5.6, None, None, 62.0, 89.6, 0.6999999999999998
2707, 8.167118499999999, None, None, 169.5, 153.0, 0.05695645132743362
2809, 1.5, None, None, 29.0, 34.3, 0.3379310344827585
2904, 1.35, None, None, 24.6, 23.3, 0.11260162601626014
2912, 8.0, None, None, 235.0, 298.5, 0.4480851063829787
2915, 0.0, None, None, 58.3, 68.1, 0.3310463121783876
3008, 63.5, None, None, 4475.0, 4805.0, 0.11932960893854748
3022, 3.0, None, None, 47.25, 50.2, 0.16825396825396832
3030, 3.0, None, None, 38.75, 54.5, 0.6567741935483871
3034, 7.0, None, None, 112.5, 218.0, 1.1413333333333333
3045, 5.6, None, None, 108.0, 107.0, 0.14629629629629626
3056, 2.0, None, None, 18.2, 30.75, 0.9642857142857144
3356, 1.0, None, None, 48.15, 25.9, -0.4413291796469367
5434, 5.0, None, None, 90.4, 108.0, 0.35508849557522115
5471, 1.8, None, None, 34.15, 31.3, 0.07408491947291368
5534, 6.0, None, None, 65.4, 84.0, 0.5779816513761467
6189, 2.3, None, None, 30.9, 34.3, 0.327831715210356
6192, 2.0, None, None, 53.3, 76.1, 0.5891181988742964
6202, 3.5, None, None, 50.5, 65.8, 0.5465346534653465
6206, 5.0, None, None, 99.8, 72.4, -0.12925851703406804
6269, 4.5, None, None, 91.3, 106.0, 0.31982475355969336
6277, 5.8, None, None, 80.9, 84.0, 0.27688504326328794
6281, 4.3, None, None, 63.3, 67.6, 0.2622432859399684
9906, 0.0, None, None, 21.3, 21.8, 0.023474178403755867
9910, 5.2, None, None, 139.5, 183.0, 0.4329749103942652
9914, 4.0, None, None, 172.0, 165.5, 0.01744186046511628
9917, 3.5, None, None, 88.3, 88.8, 0.1359003397508494
9921, 5.0, None, None, 209.0, 180.0, -0.07607655502392345
9930, 2.8, None, None, 53.6, 49.5, 0.03171641791044773
9940, 1.0, None, None, 33.45, 29.8, 0.03437967115097153
9941, 4.81, None, None, 82.3, 111.0, 0.5456865127582018
9942, 4.0, None, None, 84.5, 68.9, -0.03786982248520705
9943, 4.0, None, None, 51.5, 68.4, 0.5883495145631069
9945, 0.0, None, None, 38.3, 42.45, 0.21279373368146232
1565, 27.0, None, None, 628.0, 412.0, -0.21894904458598727
2059, 8.25, None, None, 421.0, 351.0, -0.11223277909738717
3088, 3.65, None, None, 59.1, 56.8, 0.1798646362098138
3211, 3.0, None, None, 37.7, 66.5, 1.0026525198938991
3213, 3.4, None, None, 43.3, 45.0, 0.27482678983833725
4105, 3.8, None, None, 103.5, 78.2, -0.12077294685990335
4113, 0.128323, None, None, 9.18, 15.5, 0.7477374183006537
4401, 3.6, None, None, 83.0, 36.5, -0.4566265060240964
4416, 2.0, None, None, 75.0, 85.4, 0.21866666666666673
5007, 2.5, None, None, 54.9, 50.1, 0.06739526411657565
5209, 2.505, None, None, 41.15, 51.4, 0.44735601458080193
5306, 3.25, None, None, 127.5, 101.5, -0.10784313725490197
5312, 3.6, None, None, 75.4, 65.1, 0.011936339522546259
5324, 0.0, None, None, 12.2, 9.49, -0.22213114754098354
5349, 1.239256, None, None, 32.1, 22.55, -0.2589016822429907
5356, 4.0, None, None, 45.8, 28.3, -0.20742358078602613
5388, 4.2, None, None, 81.4, 74.3, 0.04115479115479104
5474, 3.3, None, None, 74.0, 73.7, 0.1364864864864865
5489, 1.8, None, None, 44.4, 32.5, -0.14864864864864863
5490, 4.0, None, None, 62.5, 31.55, -0.4072
5508, 1.807, None, None, 25.0, 34.3, 0.6675724
5511, 0.5, None, None, 23.9, 30.0, 0.4142259414225943
5514, 0.35, None, None, 9.62, 19.1, 1.1049896049896053
5519, 0.5, None, None, 10.75, 15.2, 0.5906976744186047
5522, 3.8, None, None, 37.2, 40.35, 0.3346774193548387
5530, 1.2, None, None, 56.6, 61.6, 0.20671378091872789
5903, 5.2, None, None, 212.5, 218.0, 0.10352941176470588
5904, 10.7, None, None, 400.0, 435.0, 0.186125
6121, 6.0, None, None, 96.0, 321.0, 2.6302083333333335
6143, 3.0, None, None, 72.0, 35.6, -0.4083333333333333
6146, 6.1, None, None, 175.0, 199.0, 0.24228571428571427
6176, 4.5, None, None, 58.5, 105.0, 1.0735042735042735
6177, 2.0, None, None, 20.0, 28.2, 0.76
6195, 3.0, None, None, 50.2, 36.3, -0.07768924302788856
6203, 2.0, None, None, 31.5, 36.6, 0.34285714285714286
6210, 2.0, None, None, 34.9, 45.1, 0.524355300859599
6224, 4.55, None, None, 59.0, 63.2, 0.26271186440677974
6230, 7.5, None, None, 157.5, 209.0, 0.4295238095238096
6245, 3.0, None, None, 45.25, 54.5, 0.35911602209944754
6263, 3.9, None, None, 48.25, 64.0, 0.5854922279792746
6279, 6.0, None, None, 151.0, 93.6, -0.26092715231788083
6294, 8.0, None, None, 123.0, 100.5, 0.008130081300813009
8044, 4.96273487, None, None, 296.5, 89.0, -0.6830936429342327
8050, 4.0, None, None, 64.6, 42.15, -0.21594427244582037
8083, 8.5, None, None, 159.0, 146.5, 0.08364779874213837
8091, 3.6312330000000004, None, None, 55.4, 58.8, 0.381261642599278
8109, 3.5, None, None, 64.1, 72.5, 0.31825273010920446
8114, 8.0, None, None, 187.5, 100.5, -0.35519999999999996
8210, 3.0, None, None, 52.2, 115.5, 1.404214559386973
8299, 14.0, None, None, 260.0, 319.5, 0.39807692307692305
8934, 0.0, None, None, 30.95, 36.0, 0.16316639741518582
9946, 0.5, None, None, 11.15, 26.0, 1.4573991031390134
9951, 5.8, None, None, 195.0, 84.2, -0.4897435897435897
1558, 9.5, None, None, 163.5, 128.5, -0.03669724770642202
2114, 5.0, None, None, 78.0, 82.6, 0.2512820512820512
3130, 10.8, None, None, 142.0, 150.5, 0.2634507042253521
3152, 10.5, None, None, 277.5, 306.0, 0.21542342342342344
3234, 1.0, None, None, 59.8, 36.1, -0.37959866220735783
3390, 0.0, None, None, 15.6, 22.2, 0.5576923076923077
3450, 6.5, None, None, 132.0, 64.0, -0.42045454545454547
3454, 4.75, None, None, 84.6, 83.5, 0.11997635933806154
4426, 0.6, None, None, 110.0, 41.85, -0.6071818181818183
8255, 6.5, None, None, 115.0, 100.5, 0.02608695652173913
8271, 2.4, None, None, 33.2, 42.0, 0.49096385542168663
2107, 0.55, None, None, 16.35, 19.0, 0.2770642201834862
2231, 8.5, None, None, 262.0, 216.5, -0.08330592423664121
2049, 1.6, None, None, 163.5, 306.0, 0.945565749235474
1580, 8.5, None, None, 149.0, 109.0, -0.11409395973154363
3529, 6.5, None, None, 470.0, 324.5, -0.26276595744680853
3541, 4.0, None, None, 146.5, 80.6, -0.3610921501706485
3552, 7.5, None, None, 309.5, 61.3, -0.7712439418416801
3556, 3.7, None, None, 50.3, 47.35, 0.16202783300198817
3570, 3.0, None, None, 53.0, 93.0, 0.8920754716981132
3587, 3.5, None, None, 92.6, 71.2, -0.13390928725701937
1773, 4.0, None, None, 55.0, 91.1, 0.9036363636363636
3131, 10.0, None, None, 192.0, 281.0, 0.609375
3611, 10.0, None, None, 255.0, 221.5, -0.013725490196078431
2634, 1.0, None, None, 39.55, 33.75, -0.05891276864728186
6803, 11.37, None, None, 176.5, 213.0, 0.3873654390934844
